feature,gain
norm_y,112.91038513183594
distance_ft,104.65922546386719
is_rebound,77.1246337890625
shot_type_group_tip-in,60.515777587890625
shot_type_group_snap,59.96110916137695
abs_angle_deg,39.45981216430664
seconds_since_last_event_capped,37.110504150390625
prev_event_type_group_penalty,33.59653091430664
norm_x,24.420516967773438
shot_type_group_backhand,21.579832077026367
angle_deg,20.73633575439453
shot_type_group_wrap-around,20.27423095703125
shot_type_group_slap,19.671058654785156
prev_event_type_group_faceoff,18.485885620117188
prev_event_type_group_hit,15.285823822021484
is_overtime,14.621525764465332
shot_type_group_wrist,13.886493682861328
is_same_team_as_prev,12.818690299987793
prev_event_type_group_turnover,11.139266967773438
strength_state_advantaged,10.1281099319458
strength_state_shorthanded,7.605098247528076
prev_event_type_group_shot,7.140967845916748
shot_type_group_other,6.341947078704834
shot_type_group_poke,4.627560615539551
prev_event_type_group_blocked-shot,4.613510608673096
